gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3710571375	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep22043	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Alstonia	Alstonia scholaris		SPECIES	Alstonia scholaris (L.) R.Br.	Alstonia scholaris	(L.) R.Br.	CN			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	23.26	105.82											5414410	5414410	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.428Z		
3710571374	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep23375	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca cajuputi		SPECIES	Melaleuca cajuputi Powell	Melaleuca cajuputi	Powell	AU			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-12.48	134.94											5415885	5415885	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.426Z		CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571373	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Bajhang_DFO_1	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	NP	Byasi VCD		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	29.5749	81.0503							2008			2008	5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.432Z		
3710571372	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep22041	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Alstonia	Alstonia scholaris		SPECIES	Alstonia scholaris (L.) R.Br.	Alstonia scholaris	(L.) R.Br.	CN			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	22.65	108.31											5414410	5414410	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.426Z		
3710571371	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep23373	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca cajuputi		SPECIES	Melaleuca cajuputi Powell	Melaleuca cajuputi	Powell	AU			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-12.44	134.98											5415885	5415885	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.432Z		CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571370	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep22042	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Alstonia	Alstonia scholaris		SPECIES	Alstonia scholaris (L.) R.Br.	Alstonia scholaris	(L.) R.Br.	CN			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	22.79	103.09											5414410	5414410	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.425Z		
3710571369	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep23372	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca cajuputi		SPECIES	Melaleuca cajuputi Powell	Melaleuca cajuputi	Powell	AU			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-12.57	131.3											5415885	5415885	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.426Z		CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571368	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:PNG_Pometia10	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Pometia	Pometia pinnata		SPECIES	Pometia pinnata J.R.Forst. & G.Forst.	Pometia pinnata	J.R.Forst. & G.Forst.	PG	Western: Kotari.		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-7.933333	142.133333							2005-05-23	23	5	2005	5577338	5577338	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.433Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571367	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:PNG_Pometia11	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Pometia	Pometia pinnata		SPECIES	Pometia pinnata J.R.Forst. & G.Forst.	Pometia pinnata	J.R.Forst. & G.Forst.	PG	Morobe: Mongi-Busiga FRI research plots.		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-6.6825	147.7625							2003-04-15	15	4	2003	5577338	5577338	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.433Z		CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571366	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep22040	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Alstonia	Alstonia scholaris		SPECIES	Alstonia scholaris (L.) R.Br.	Alstonia scholaris	(L.) R.Br.	CN			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	22.01	107.33											5414410	5414410	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.424Z		
3710571365	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep23370	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca cajuputi		SPECIES	Melaleuca cajuputi Powell	Melaleuca cajuputi	Powell	AU			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-12.55	135.01											5415885	5415885	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.424Z		CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571364	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:PNG_Pometia12	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Pometia	Pometia pinnata		SPECIES	Pometia pinnata J.R.Forst. & G.Forst.	Pometia pinnata	J.R.Forst. & G.Forst.	PG	Morobe: Ana village near Mor River		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-7.808333	147.558333							1981-05-27	27	5	1981	5577338	5577338	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.432Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571363	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:PNG_Pometia15	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Pometia	Pometia pinnata		SPECIES	Pometia pinnata J.R.Forst. & G.Forst.	Pometia pinnata	J.R.Forst. & G.Forst.	PG	New Britain: Foothills approximately 1 km SW of Lassul Bay Store.		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-4.228333	151.718611							2007-12-05	5	12	2007	5577338	5577338	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.424Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571362	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep23371	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca cajuputi		SPECIES	Melaleuca cajuputi Powell	Melaleuca cajuputi	Powell	AU			PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-12.56	134.94											5415885	5415885	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.433Z		CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
